2026-01-15 21:23:51.526 [info] Using Cloud Code URL: https://daily-cloudcode-pa.googleapis.com
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientMainService] Starting browser onboarding server
2026-01-15 21:23:51.526 [info] [BrowserOnboardingClientServer] Browser onboarding server started on http://localhost:58192
2026-01-15 21:23:51.526 [info] update#setState idle
2026-01-15 21:23:52.553 [error] Error: invalid_grant
    at Gaxios._request (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\gaxios\build\cjs\src\gaxios.js:154:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async OAuth2Client.refreshTokenNoCache (C:\Users\Admin\AppData\Local\Programs\Antigravity\resources\app\node_modules\google-auth-library\build\src\auth\oauth2client.js:259:19)
2026-01-15 21:23:52.558 [error] Error initializing AntigravityAuthMainService: invalid_grant
2026-01-15 21:27:31.447 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:34.449 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:37.457 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:40.480 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:43.479 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:46.477 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:49.483 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:52.487 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:55.518 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:27:58.503 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:01.510 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:04.515 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:07.540 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:10.529 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:13.544 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:16.550 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:19.550 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:22.553 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:25.551 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:28.581 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:31.569 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:34.578 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:37.578 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:40.583 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:43.598 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:46.611 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:49.667 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:52.626 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:55.644 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:28:58.643 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:01.654 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:04.669 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:07.680 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:10.687 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:13.703 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:16.721 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:19.723 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:22.731 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:25.749 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:28.774 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:31.753 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:34.769 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:37.769 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:40.868 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:43.774 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:46.782 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:49.928 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:52.799 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:55.810 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:29:58.825 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:01.829 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:04.832 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:07.837 [error] Failed to fetch NUXes: invalid_grant
2026-01-15 21:30:10.846 [error] Failed to fetch NUXes: invalid_grant
